date,pm25,T2M,RH2M,WS2M,pm25_lag_1,pm25_lag_7,month,smog_season
2022-07-14,30.863636363636363,31.92,66.33,0.97,41.125,58.7,7,0
2022-07-15,33.666666666666664,29.03,80.88,1.89,30.863636363636363,66.58333333333333,7,0
2022-07-16,32.375,31.31,70.47,1.2,33.666666666666664,37.958333333333336,7,0
2022-07-17,55.791666666666664,31.11,70.86,1.59,32.375,47.333333333333336,7,0
2022-07-18,58.416666666666664,32.47,63.59,0.88,55.791666666666664,56.041666666666664,7,0
2022-07-19,53.95652173913044,33.1,65.61,1.69,58.416666666666664,52.083333333333336,7,0
2022-07-20,28.041666666666668,33.13,68.5,2.23,53.95652173913044,41.125,7,0
2022-07-21,17.083333333333332,30.19,79.92,2.29,28.041666666666668,30.863636363636363,7,0
2022-07-22,33.95652173913044,30.14,79.35,1.66,17.083333333333332,33.666666666666664,7,0
2022-07-23,44.04347826086956,29.44,82.64,1.46,33.95652173913044,32.375,7,0
2022-07-24,29.0,28.75,84.17,1.93,44.04347826086956,55.791666666666664,7,0
2022-07-25,36.291666666666664,29.31,78.85,1.51,29.0,58.416666666666664,7,0
2022-07-27,45.63636363636363,30.27,78.18,1.35,36.291666666666664,53.95652173913044,7,0
2022-07-28,47.45454545454545,30.2,77.82,1.76,45.63636363636363,28.041666666666668,7,0
2022-07-29,49.27272727272727,29.31,83.23,1.58,47.45454545454545,17.083333333333332,7,0
2022-07-30,51.090909090909086,29.71,81.34,1.51,49.27272727272727,33.95652173913044,7,0
2022-07-31,52.90909090909091,29.49,84.48,1.83,51.090909090909086,44.04347826086956,7,0
2022-08-01,54.72727272727273,29.17,84.52,1.09,52.90909090909091,29.0,8,0
2022-08-02,56.54545454545455,30.07,79.34,1.25,54.72727272727273,36.291666666666664,8,0
2022-08-03,58.36363636363636,31.74,73.04,1.25,56.54545454545455,45.63636363636363,8,0
2022-08-04,60.18181818181818,30.54,76.76,1.06,58.36363636363636,47.45454545454545,8,0
2022-08-05,62.0,29.29,81.75,1.62,60.18181818181818,49.27272727272727,8,0
2022-08-06,72.54166666666667,29.62,81.94,0.8,62.0,51.090909090909086,8,0
2022-08-07,54.458333333333336,29.78,81.76,1.01,72.54166666666667,52.90909090909091,8,0
2022-08-08,48.583333333333336,29.04,84.27,1.26,54.458333333333336,54.72727272727273,8,0
2022-08-09,45.82608695652174,30.27,81.57,0.82,48.583333333333336,56.54545454545455,8,0
2022-08-10,63.583333333333336,31.29,76.82,0.85,45.82608695652174,58.36363636363636,8,0
2022-08-11,33.166666666666664,28.3,83.9,3.16,63.583333333333336,60.18181818181818,8,0
2022-08-12,41.25,29.39,73.5,1.01,33.166666666666664,62.0,8,0
2022-08-13,32.86363636363637,30.63,77.19,0.81,41.25,72.54166666666667,8,0
2022-08-14,40.44444444444444,30.3,79.15,1.53,32.86363636363637,54.458333333333336,8,0
2022-08-15,43.71178451178451,27.48,89.02,2.24,40.44444444444444,48.583333333333336,8,0
2022-08-16,46.97912457912458,28.54,78.26,1.28,43.71178451178451,45.82608695652174,8,0
2022-08-17,50.246464646464645,28.66,80.33,2.46,46.97912457912458,63.583333333333336,8,0
2022-08-18,53.51380471380471,30.02,77.4,1.01,50.246464646464645,33.166666666666664,8,0
2022-08-19,56.781144781144775,29.64,78.21,2.34,53.51380471380471,41.25,8,0
2022-08-20,60.04848484848485,28.87,79.46,1.98,56.781144781144775,32.86363636363637,8,0
2022-08-21,63.31582491582491,29.83,75.82,1.15,60.04848484848485,40.44444444444444,8,0
2022-08-22,66.58316498316498,30.78,72.84,0.62,63.31582491582491,43.71178451178451,8,0
2022-08-23,69.85050505050505,30.5,77.11,1.08,66.58316498316498,46.97912457912458,8,0
2022-08-24,73.11784511784512,28.76,80.84,3.03,69.85050505050505,50.246464646464645,8,0
2022-08-26,76.38518518518518,29.23,75.26,1.24,73.11784511784512,53.51380471380471,8,0
2022-08-27,79.65252525252525,29.06,78.76,2.18,76.38518518518518,56.781144781144775,8,0
2022-08-28,82.91986531986532,29.24,78.15,2.02,79.65252525252525,60.04848484848485,8,0
2022-08-29,86.18720538720538,28.95,81.24,1.39,82.91986531986532,63.31582491582491,8,0
2022-08-30,89.45454545454545,29.16,80.63,1.47,86.18720538720538,66.58316498316498,8,0
2022-08-31,78.25,29.77,76.12,1.3,89.45454545454545,69.85050505050505,8,0
2022-09-01,59.125,30.38,71.92,1.28,78.25,73.11784511784512,9,0
2022-09-02,40.0,30.06,71.85,1.5,59.125,76.38518518518518,9,0
2022-09-03,45.666666666666664,29.74,73.07,1.55,40.0,79.65252525252525,9,0
2022-09-04,37.91304347826087,29.48,75.33,1.47,45.666666666666664,82.91986531986532,9,0
2022-09-05,37.76470588235294,28.88,76.78,1.55,37.91304347826087,86.18720538720538,9,0
2022-09-06,41.197288792060036,29.06,75.02,0.76,37.76470588235294,89.45454545454545,9,0
2022-09-07,44.62987170176713,29.59,68.79,0.48,41.197288792060036,78.25,9,0
2022-09-08,48.06245461147422,30.1,68.22,0.69,44.62987170176713,59.125,9,0
2022-09-09,51.49503752118132,30.07,69.33,0.99,48.06245461147422,40.0,9,0
2022-09-10,54.92762043088841,30.49,67.73,0.88,51.49503752118132,45.666666666666664,9,0
2022-09-11,58.360203340595504,29.32,72.46,1.0,54.92762043088841,37.91304347826087,9,0
2022-09-12,61.7927862503026,28.5,77.54,0.99,58.360203340595504,37.76470588235294,9,0
2022-09-13,65.22536916000969,29.41,71.41,0.57,61.7927862503026,41.197288792060036,9,0
2022-09-14,68.65795206971679,29.85,71.03,0.83,65.22536916000969,44.62987170176713,9,0
2022-09-15,72.09053497942386,29.28,70.91,1.23,68.65795206971679,48.06245461147422,9,0
2022-09-16,75.52311788913096,28.82,69.67,1.21,72.09053497942386,51.49503752118132,9,0
2022-09-17,78.95570079883805,28.78,70.23,1.53,75.52311788913096,54.92762043088841,9,0
2022-09-18,82.38828370854515,28.63,71.98,1.11,78.95570079883805,58.360203340595504,9,0
2022-09-19,85.82086661825224,29.17,68.52,0.99,82.38828370854515,61.7927862503026,9,0
2022-09-20,89.25344952795933,29.03,69.27,1.03,85.82086661825224,65.22536916000969,9,0
2022-09-21,92.68603243766643,29.58,67.67,1.22,89.25344952795933,68.65795206971679,9,0
2022-09-22,96.11861534737352,29.3,70.17,0.99,92.68603243766643,72.09053497942386,9,0
2022-09-23,99.55119825708061,29.03,71.63,0.84,96.11861534737352,75.52311788913096,9,0
2022-09-25,102.98378116678771,26.51,78.02,1.91,99.55119825708061,78.95570079883805,9,0
2022-09-26,106.4163640764948,27.69,68.7,1.02,102.98378116678771,82.38828370854515,9,0
2022-09-27,109.8489469862019,27.8,66.34,1.02,106.4163640764948,85.82086661825224,9,0
2022-09-28,113.28152989590899,27.8,67.41,0.97,109.8489469862019,89.25344952795933,9,0
2022-09-29,116.71411280561608,27.71,67.55,1.16,113.28152989590899,92.68603243766643,9,0
2022-09-30,120.14669571532318,27.86,65.2,1.13,116.71411280561608,96.11861534737352,9,0
2022-10-01,123.57927862503027,27.76,60.06,1.05,120.14669571532318,99.55119825708061,10,1
2022-10-02,127.01186153473736,27.97,56.72,0.98,123.57927862503027,102.98378116678771,10,1
2022-10-03,130.44444444444446,28.07,58.24,1.22,127.01186153473736,106.4163640764948,10,1
2022-10-04,74.08333333333333,28.18,57.84,1.01,130.44444444444446,109.8489469862019,10,1
2022-10-05,88.25,28.14,55.51,0.94,74.08333333333333,113.28152989590899,10,1
2022-10-06,68.66666666666667,26.67,56.63,1.62,88.25,116.71411280561608,10,1
2022-10-07,121.1304347826087,26.18,63.88,1.17,68.66666666666667,120.14669571532318,10,1
2022-10-08,90.3913043478261,26.05,67.7,1.1,121.1304347826087,123.57927862503027,10,1
2022-10-09,65.58333333333333,26.64,66.67,1.14,90.3913043478261,127.01186153473736,10,1
2022-10-10,62.52173913043478,26.17,69.15,1.17,65.58333333333333,130.44444444444446,10,1
2022-10-11,88.25,25.16,71.74,1.05,62.52173913043478,74.08333333333333,10,1
2022-10-12,110.26086956521739,24.52,69.44,1.07,88.25,88.25,10,1
2022-10-13,105.20833333333333,24.91,65.44,1.19,110.26086956521739,68.66666666666667,10,1
2022-10-14,121.52173913043478,24.8,61.7,1.21,105.20833333333333,121.1304347826087,10,1
2022-10-15,114.6842105263158,25.05,54.79,1.43,121.52173913043478,90.3913043478261,10,1
2022-10-16,131.88815789473685,24.47,54.97,1.11,114.6842105263158,65.58333333333333,10,1
2022-10-17,149.0921052631579,23.95,51.44,1.22,131.88815789473685,62.52173913043478,10,1
2022-10-18,166.29605263157896,24.01,50.13,1.29,149.0921052631579,88.25,10,1
2022-10-19,183.5,23.66,51.92,1.58,166.29605263157896,110.26086956521739,10,1
2022-10-20,78.34782608695652,23.14,58.8,2.62,183.5,105.20833333333333,10,1
2022-10-21,96.22727272727273,22.91,61.26,1.43,78.34782608695652,121.52173913043478,10,1
2022-10-22,129.75,21.91,49.53,1.19,96.22727272727273,114.6842105263158,10,1
2022-10-23,144.69565217391303,22.43,45.69,1.15,129.75,131.88815789473685,10,1
2022-10-25,173.05555555555554,23.67,48.13,1.63,144.69565217391303,149.0921052631579,10,1
2022-10-26,180.46296296296296,23.83,48.82,1.0,173.05555555555554,166.29605263157896,10,1
2022-10-27,187.87037037037035,23.69,48.89,1.09,180.46296296296296,183.5,10,1
2022-10-28,195.27777777777777,24.23,48.33,1.03,187.87037037037035,78.34782608695652,10,1
2022-10-29,202.6851851851852,24.22,40.42,1.04,195.27777777777777,96.22727272727273,10,1
